Location,Country,Category,Visitors,Rating,Revenue,Accommodation_Available
GIYURImcwn,Australia,Adventure,950658,2.93,809130.85,No
BiZZbRNQfu,India,Nature,589849,4.82,59869.33,Yes
yqJxbiBwni,Egypt,Cultural,689575,1.1,336925.19,No
SuuFrnAKis,Brazil,Historical,328287,2.0,751160.68,Yes
NgXDapOwiX,Australia,Urban,878392,4.3,821471.41,No
asIaWBjFAf,Egypt,Cultural,171913,3.78,544876.12,Yes
fHnXeVwlFg,Australia,Historical,877034,1.01,487971.82,Yes
LPIdMAMmXD,France,Urban,624967,1.4,878526.96,No
uuREuytbaY,France,Beach,958216,2.84,93854.02,No
LWWmbwfoXA,Brazil,Nature,343668,4.89,599369.61,Yes
bmwiWUkuUS,China,Urban,833742,4.3,347415.33,No
oGBBtYfEWA,India,Cultural,811018,1.5,303651.03,Yes
TYJaKDclZk,Egypt,Adventure,655732,1.96,354590.03,No
VdtaHdliYw,Australia,Adventure,765094,4.73,808802.5,Yes
nnRHZzrtgR,India,Urban,220510,4.96,270442.89,No
attARzJPbe,France,Cultural,705398,4.16,8769.54,No
zZKCXafOxv,Australia,Urban,847800,1.91,206474.88,Yes
DtRiOtXlOT,Egypt,Nature,843145,4.33,110052.4,Yes
VCoeLItDbT,Brazil,Nature,453488,3.75,967025.98,Yes
sqAaVqyNzS,France,Historical,543762,2.77,183324.89,No
hBguuldGeR,Brazil,Urban,775117,2.16,160352.45,No
lzvwNABglw,China,Beach,626885,3.74,586062.72,Yes
cebsVIQylz,Egypt,Adventure,149482,4.44,479894.14,Yes
RbWqteEcpG,France,Historical,271788,3.67,736500.94,No
APBMLfJsOn,USA,Nature,476373,3.45,627963.76,Yes
gozxECnEJC,USA,Nature,808255,1.0,627270.04,Yes
uhuqfzyZwB,Australia,Beach,926326,3.57,726054.05,No
rmaqyzxLMw,India,Nature,800659,1.87,577436.42,No
jwpvoUVefB,USA,Nature,717709,2.8,193323.16,No
ZtzYuXXcgG,Egypt,Urban,475758,4.54,595614.8,No
tqfDWWDHuO,Australia,Nature,808349,1.01,598753.61,Yes
AZCSvesbea,China,Historical,719905,3.7,292642.11,Yes
ExcKYFUFOm,USA,Urban,722612,1.43,226727.8,Yes
MezFVxqQSX,USA,Cultural,705490,3.58,135875.08,Yes
bMsbmrELiN,Australia,Cultural,802225,1.63,380374.99,Yes
pJiEgYOAqf,France,Historical,783089,4.76,386071.49,No
zrvsAldpws,Egypt,Historical,466195,4.17,273956.7,Yes
yiElbSUfuX,Australia,Urban,147619,3.94,435773.78,Yes
jdVgKzosKb,France,Adventure,738466,4.38,763568.3,Yes
SmkajIHvrA,Egypt,Nature,34309,4.93,67278.34,Yes
ZcDycQneMN,USA,Historical,44317,2.17,25761.36,No
ZWKShywvrU,Egypt,Cultural,351200,2.56,568735.46,Yes
itADGRQHhu,USA,Beach,859352,4.85,719007.54,No
HfTHnfIqxp,France,Urban,405785,3.47,545406.04,Yes
PxvMVKxILw,Brazil,Historical,87323,3.28,828804.43,Yes
paGxLGQguG,India,Cultural,404119,1.48,358069.05,Yes
VleoeMkDnz,India,Nature,8720,1.48,281720.85,No
zgwCXeNNFV,Australia,Beach,637337,4.78,959725.69,No
SNnZfvRsfE,France,Nature,40594,3.89,897569.52,No
tHkTbdzseF,India,Cultural,778164,2.27,844887.66,No
syBNlJFQmE,Egypt,Beach,521645,2.3,453309.54,No
udTlbaAMOI,USA,Cultural,220021,2.11,370255.4,Yes
nlPYcKOhga,India,Historical,945441,3.44,473372.63,Yes
eOnkEkJyxd,Australia,Beach,972818,3.61,18709.61,No
qTPGrxzuaT,Australia,Cultural,521195,3.13,360229.65,Yes
oWfVKKcqvw,Australia,Adventure,192563,4.69,121401.03,Yes
mjVsGqHpYX,France,Cultural,307691,3.68,516067.67,No
cAisDEjzZP,Egypt,Urban,77924,3.77,773928.96,No
uVQAryYqMI,USA,Adventure,432079,3.03,94876.63,Yes
rOPDYOBcOO,Australia,Beach,552406,4.2,421889.7,Yes
QnPhvedyNq,France,Cultural,103704,4.84,919394.37,Yes
YUoNnPwvCL,Brazil,Nature,78496,2.61,803448.83,No
HwAgVIacsv,India,Beach,466796,3.62,179208.55,Yes
eKnVYzHksV,France,Nature,824764,2.29,490377.6,No
rQfxryGooQ,Australia,Beach,710118,4.24,184331.74,No
NyTtFUNjir,USA,Urban,685583,4.09,688891.65,Yes
GeipaCmDXM,Egypt,Nature,162564,3.97,730059.98,No
YKYUnegOqN,Australia,Adventure,614983,1.23,410561.19,No
kCCgBHBvBQ,India,Cultural,952461,1.23,601430.33,Yes
bVwNPDjAhS,Brazil,Cultural,240840,2.47,965213.66,No
mUWmsuBYlL,Egypt,Adventure,186437,2.64,573635.11,No
TlrDolHdpl,Egypt,Beach,56971,3.37,424589.56,Yes
PRfXiRMpzi,Egypt,Nature,192516,4.01,613212.49,No
LjaRrRBCrd,Australia,Historical,81186,1.85,704950.07,No
oBfjgTGJis,China,Beach,186195,2.61,564886.24,No
wrZxepfVIM,Egypt,Beach,780437,1.16,92664.26,No
zrKgcGqRpk,India,Adventure,778496,1.48,823063.26,Yes
qxQKBVLBiu,France,Urban,350952,1.03,358037.82,Yes
NLqrkDrHdR,USA,Cultural,985854,4.88,954644.51,Yes
UNtizmOYJj,USA,Nature,752607,2.97,126871.98,No
jKgyJiuiyA,China,Cultural,494634,2.62,248016.71,Yes
HzOkygPFPs,Brazil,Urban,72822,2.93,286814.85,Yes
GUMBtvdIXx,Australia,Cultural,117577,4.28,789624.19,Yes
rwtIzanoMP,France,Nature,651039,3.02,684678.49,Yes
DVlHsSQUct,India,Cultural,217584,1.59,126238.69,Yes
UOBTBUBQcH,Australia,Nature,205036,1.86,778577.2,Yes
mJCfjUiDVK,India,Historical,686213,3.6,76735.01,No
zvYdwkMfjU,Brazil,Historical,727386,1.12,851090.43,Yes
bFBoalAcRW,Egypt,Urban,915810,3.51,690104.39,Yes
qNSdqShvAW,France,Cultural,914948,1.8,43224.75,Yes
vpNPWELNCN,Brazil,Adventure,354395,1.53,99945.41,Yes
svVWBsrDyU,China,Adventure,363763,2.52,98062.85,Yes
QzYTxhcxti,Egypt,Historical,309822,4.84,27527.28,Yes
XtkqsVyGFn,Australia,Urban,286803,1.15,671025.38,No
uarxUGUEIc,Brazil,Historical,909396,3.91,632103.38,Yes
bCVcCyygnx,USA,Urban,628892,1.65,401588.99,No
jPOEmfJPMC,China,Historical,616673,4.67,934499.63,Yes
qHRrSkJigT,France,Beach,705070,1.67,462808.75,Yes
OCwYPTJXtx,USA,Urban,49979,1.37,333471.52,Yes
pBHnHfDWjM,Brazil,Beach,736570,3.43,465182.45,No
VqbCMDVGtu,Egypt,Beach,384235,3.13,884964.09,No
LmaDiomeeI,USA,Cultural,936388,4.2,196641.19,No
vXIycbSqWg,France,Adventure,324369,1.85,12184.01,No
MOCuVgZYGV,India,Nature,29236,3.8,987579.93,Yes
penhOfvFWO,China,Historical,739444,3.44,177953.87,Yes
GxxgFhfIkT,USA,Adventure,516044,3.61,969966.78,Yes
QUZqdBArjv,Australia,Nature,447371,2.87,579519.92,No
ZbqvSxxDOr,USA,Urban,234002,1.45,158170.73,Yes
LIdEDbcadP,Australia,Cultural,243162,2.58,290843.65,Yes
oKgzGshtjB,Brazil,Historical,732658,3.96,698686.84,Yes
ZaOkXhaLdT,India,Adventure,280691,1.52,405425.51,Yes
gdIkaBzpyJ,Egypt,Cultural,566123,3.75,774466.62,Yes
YgIHflOpoD,Brazil,Beach,8597,3.95,195612.43,Yes
tNesXxzfiE,France,Nature,807290,4.54,458120.63,No
oCFSxJULgp,India,Historical,536932,3.66,90932.16,No
leAisfhxuV,China,Nature,388912,4.81,989138.15,Yes
BcCZXhPpig,Australia,Cultural,193106,3.51,689007.52,No
IMsAVknzrL,India,Urban,879602,1.79,337931.83,Yes
JELXYlHHFg,Brazil,Urban,894805,4.74,494169.35,No
nVyGueznxk,Egypt,Historical,348801,4.78,29927.14,No
ELqXzqSsqh,France,Historical,529052,2.97,973022.71,Yes
WlULchARwr,India,Cultural,603081,1.59,646393.39,Yes
JvePmZnkcP,USA,Historical,131940,2.95,78710.35,No
SktNyzwjJm,France,Urban,872010,2.92,968338.15,Yes
XcGzuUNgRK,Brazil,Historical,339096,3.82,32155.85,Yes
rwuAmCladq,China,Cultural,876312,2.77,882999.19,Yes
ETmFAFhKKu,Egypt,Adventure,885739,4.88,151797.93,No
oTKjhmBPiL,Brazil,Nature,4211,4.46,638861.46,Yes
toNEwWJCgx,China,Beach,270730,3.64,191932.0,No
dzbjzRHsdy,India,Adventure,878428,1.12,421194.39,Yes
wNjidxIpad,USA,Urban,791062,2.87,134876.13,No
XjHwWYzcKD,France,Cultural,331179,1.73,899345.34,No
iHbJzkQbho,France,Historical,304772,1.37,234521.41,Yes
tynNtGSSSy,Egypt,Adventure,459130,2.08,775052.14,No
tvohVDfwOM,Egypt,Historical,737696,2.89,193544.15,No
SnwfJyONMt,India,Cultural,356491,4.31,142999.89,No
gDbqVtHOgR,Brazil,Nature,388625,4.44,521171.69,Yes
IzeLVUoNqH,France,Nature,531496,4.95,911083.67,No
emiOnPqapl,USA,Historical,308326,3.18,711128.84,Yes
BNQqlyVibj,France,Urban,653781,2.81,40753.41,No
pnejoUGcUx,Egypt,Nature,281660,4.2,82264.6,Yes
QpWJoDITUI,China,Nature,961522,3.9,372219.78,No
iOgichMLcb,India,Urban,768778,3.08,852611.16,No
iLFvYcNJqk,USA,Nature,811479,2.51,310413.27,No
tNhrEJwhyX,India,Adventure,811019,1.09,802140.21,Yes
kRxqMCNlCb,USA,Historical,478673,1.56,26316.0,Yes
apvzxxUFTx,USA,Historical,955746,4.65,123959.52,Yes
WfClcjqNld,Australia,Historical,136593,4.12,502494.25,Yes
wwTQVJUXRF,China,Cultural,453803,2.36,979693.38,Yes
sWaaDVgnLJ,Brazil,Nature,939612,4.61,355983.13,No
UEWDMbIRyJ,India,Urban,616510,3.74,560834.0,Yes
UWfzzDPEHj,Brazil,Historical,619755,1.21,878980.87,No
tvaQseeWGp,USA,Urban,3557,3.68,654614.23,Yes
PjxokKdtdb,Brazil,Historical,587261,3.9,659719.85,Yes
hdnMRyEhQT,USA,Historical,287965,2.27,339301.35,No
PJcIDonOux,France,Historical,685271,3.43,418706.57,No
itznEjlPaA,Australia,Beach,605216,4.86,71911.64,Yes
kcMuahswjg,USA,Adventure,697237,1.88,771740.75,No
yjQPgZvjZh,China,Beach,116430,4.13,90906.13,No
ECyIBjJiPy,USA,Adventure,523126,4.79,410214.21,No
fzaKwQhXFK,China,Urban,929191,2.24,693545.83,Yes
qbQUpweTcC,Egypt,Cultural,971124,4.88,60166.41,Yes
NkNxyBkOtQ,Brazil,Adventure,519911,2.11,738577.57,Yes
xolQKxHggX,Egypt,Beach,375637,4.87,740650.1,Yes
nppiylEpHM,India,Adventure,777608,4.32,179311.27,No
UNnDYEwhXz,Egypt,Adventure,948472,2.88,587060.98,Yes
DumVYqwHuL,China,Adventure,834320,1.38,928727.04,No
LyzmxzLlTV,USA,Urban,209340,1.25,243878.61,Yes
yNEMvSbztz,France,Nature,671126,4.26,884922.05,Yes
MnWDTUoFIW,Australia,Beach,589429,2.06,24908.32,Yes
wklcNHhtIS,USA,Adventure,463928,3.9,432590.06,Yes
UcThfzZoEy,China,Cultural,995689,4.84,794812.48,Yes
EWwWubBrhF,India,Beach,598971,4.65,221567.21,Yes
kEbNpBWTjU,Brazil,Adventure,910609,3.19,749939.16,Yes
daGqWjPwpK,USA,Urban,269702,4.79,44145.09,Yes
ILFTbRTONJ,China,Beach,909918,4.06,359815.48,Yes
kVDrEaSkED,Brazil,Adventure,843204,2.13,845030.73,Yes
JILvDVawIi,Brazil,Cultural,815605,4.82,855184.74,Yes
ClMnDeZiRw,India,Historical,7030,2.26,758543.33,Yes
yVvzUYJFwV,Brazil,Urban,211680,4.35,95607.25,Yes
weohEFpQIA,Brazil,Beach,211850,2.71,580041.81,No
OilBRcKyxK,France,Cultural,417531,2.51,463228.99,Yes
DMLfRGtDNb,Brazil,Urban,740854,3.46,512280.09,No
MYnrArATbm,Brazil,Historical,669047,2.4,139490.77,Yes
pXxOxFnLVA,Australia,Historical,998976,4.63,509279.84,No
CBHtHQDRZe,Brazil,Cultural,154090,2.53,596608.85,Yes
dhKSDEFePN,Brazil,Adventure,540686,3.97,241196.74,No
xHnPuAmoLs,Brazil,Cultural,570123,3.23,563018.14,No
uNKHOIedpR,India,Urban,381959,4.88,465966.92,Yes
uQwuIGiIup,Egypt,Historical,743169,2.18,329182.92,No
SJQkRVBekM,Egypt,Urban,634046,1.35,662367.72,Yes
kEZAfaEXSH,Egypt,Cultural,134242,4.48,22930.45,Yes
hwMBWDbCKd,Australia,Historical,821997,2.78,631669.35,Yes
jPMzfAGeck,USA,Nature,440152,4.13,87226.4,No
LgKeRLsqpk,Egypt,Urban,309784,2.76,449596.33,Yes
GNWwXNlWCX,USA,Cultural,952889,2.94,882141.25,No
vqPVlXJnqW,China,Beach,652217,1.41,288718.57,Yes
CbMQsNdMwN,Egypt,Adventure,71845,2.5,933922.14,Yes
PvlaqhAsDq,USA,Historical,497104,3.3,826718.67,Yes
BFPlNIRMGs,Brazil,Cultural,274810,4.43,354888.72,Yes
zwOvgqdBjb,Brazil,Adventure,798727,2.98,188857.71,Yes
lpxprkgQgP,India,Adventure,623205,2.58,611010.99,No
ekTQcTmcNk,Australia,Nature,740720,1.37,806809.48,No
nJoYbTTPmH,Egypt,Urban,355354,2.78,73735.34,No
YqMXWfriFC,USA,Urban,762738,3.31,935936.52,Yes
gcYlCNmlFN,Brazil,Cultural,28942,3.47,493788.07,No
jdVDEZcwZs,Brazil,Historical,706392,4.24,487613.99,Yes
fJEeetKIuI,USA,Beach,95710,3.33,892770.47,No
ANWyZwqIlY,Egypt,Nature,899732,3.06,102737.67,Yes
iLyfAdfngi,Brazil,Historical,387082,2.21,826392.78,Yes
qfblwFggnL,France,Adventure,687152,4.15,776678.91,No
izLhlqgKhU,China,Beach,339060,2.97,917384.92,Yes
ZxZTBSunFn,China,Urban,150273,2.82,4490.1,Yes
sGvaLgyqns,USA,Cultural,26341,3.29,83528.91,No
BQFEdcTkbG,Brazil,Historical,903012,2.95,249061.44,Yes
kjyzfwLLaL,USA,Historical,96577,1.67,338056.44,No
IxSKtdVRYj,India,Urban,191685,4.06,778345.24,Yes
mbLmhIILfx,USA,Nature,441205,3.85,985896.3,No
SiezkRGbyu,India,Historical,55118,2.88,352769.67,Yes
xGfTmAZarc,India,Adventure,801600,4.1,457956.9,No
EAkqtUumNJ,USA,Urban,982548,3.46,232124.61,No
rTaReKFAVG,China,Historical,528147,3.11,446061.98,No
SZivSGflEV,Australia,Beach,352240,3.39,364572.27,Yes
VkzUfXFrUo,Egypt,Adventure,695053,3.7,337196.01,No
SNPwAtyQlU,Brazil,Cultural,125616,3.74,943243.45,No
oyvTECjhKF,USA,Beach,531843,2.7,703874.88,No
FcWClcOlkK,Egypt,Cultural,991834,1.54,899701.46,No
vCSfUqqOXB,USA,Beach,173382,4.4,203034.47,No
qfTxISomoN,India,Historical,739791,1.29,170365.65,No
uQKLUfZLEV,China,Urban,569490,2.53,699628.4,Yes
pkgehBUlLo,China,Urban,408765,1.15,531008.17,No
uPEfrVvlLh,China,Beach,217824,2.7,716215.28,Yes
vxSJGawDdw,India,Nature,39577,3.22,550646.54,No
uYUaVGweqS,France,Urban,904040,2.12,778143.17,No
yaZrRyvYwb,China,Historical,562287,1.82,400904.42,No
fNljFrVtqk,India,Beach,884454,2.39,250674.99,Yes
qFAiJLfcoL,France,Adventure,446371,3.9,234814.6,No
ropOCbIbdO,France,Beach,762961,1.05,794730.52,No
xtZXkyrbiM,France,Historical,702091,3.34,726658.95,Yes
bXtyILCxvo,Brazil,Cultural,379142,2.92,201250.16,Yes
sXlTrBOpFL,Brazil,Historical,177134,3.0,340263.07,No
EHIlBqKROp,India,Adventure,989938,1.7,184204.64,No
MtKKnZVCef,Australia,Historical,134086,3.83,182599.77,Yes
dBbLTRrcZT,Australia,Urban,102717,1.49,402253.01,No
nfZZDrEVCs,Egypt,Cultural,479629,2.1,316232.99,Yes
MYeUrLkikD,Egypt,Urban,431785,2.24,180735.99,Yes
wsCFKgYeqf,Brazil,Beach,18519,1.29,174960.21,Yes
YFQfciGWPk,USA,Urban,292888,3.69,367666.02,Yes
jZxsmQYsGh,Australia,Nature,555646,3.87,230733.4,Yes
EfOxYXETkY,Egypt,Urban,575195,2.39,556653.94,No
SoZLuXRUqx,Brazil,Nature,235580,4.89,921992.2,Yes
bpZIxNaBIu,India,Beach,439423,4.66,671970.91,Yes
xyYbnFIped,France,Adventure,435387,1.29,904460.87,No
XaEkfUeopT,Egypt,Urban,951610,4.47,621911.3,Yes
CkLtuSAdMI,Brazil,Nature,377739,3.58,774006.22,Yes
OFRTYNuxqG,China,Adventure,255444,4.31,82993.3,No
sjqxIQHwzW,Egypt,Nature,390384,4.46,570888.88,Yes
nKAIdqvSYO,China,Adventure,25520,1.74,475869.31,No
WbQOFnfEwL,Australia,Cultural,465367,4.4,952137.63,Yes
bQOIdHbWzX,France,Nature,878338,1.13,154036.28,Yes
CyjgvnahfV,France,Adventure,982495,4.7,951079.18,No
fNcFIWGTdO,USA,Historical,652692,2.3,539140.36,Yes
bmrxvwfhdQ,Australia,Beach,869239,4.2,22260.42,No
SxQrfqMYBC,Egypt,Urban,49456,1.13,432965.28,Yes
uxViDcWljj,Australia,Cultural,444084,1.19,734621.68,No
YEftRZlmiV,France,Beach,378552,4.28,578389.96,No
sTckyMKXoo,China,Nature,484204,1.5,679823.04,No
eTujkPCQhT,USA,Nature,22749,2.37,201950.84,Yes
QeRcCnSIDk,China,Historical,359170,4.92,760516.69,No
WVKDiUEuki,Australia,Nature,509677,4.27,51139.64,Yes
LTtKDIAvUV,Brazil,Cultural,210122,3.91,815783.85,No
pLdqWtcrYz,India,Cultural,234246,1.5,210913.41,Yes
DcKXAWkjTH,Australia,Cultural,18712,3.44,472141.79,No
BWwrUJrnQd,France,Adventure,721826,3.97,438171.15,Yes
eaceBXGBuR,India,Nature,122991,3.14,8963.95,No
svHtxduGCQ,France,Adventure,553755,4.68,100716.19,Yes
InGBjuuGcJ,Brazil,Urban,612444,4.16,954240.76,Yes
kxGIJKtCpU,Egypt,Cultural,43267,1.55,614881.47,Yes
AkoAobWujQ,Australia,Beach,133555,1.77,433378.33,No
mGnSvOqalE,France,Adventure,542812,1.18,215720.63,No
tSYdJmXEXL,India,Beach,925108,2.06,25120.44,Yes
RKCvHVkRIZ,Egypt,Historical,861455,3.78,953610.2,Yes
uiALpqUuzx,China,Beach,111449,2.69,8085.96,Yes
xKiFxlmZps,USA,Beach,363345,1.92,146879.55,Yes
yujuABhSpA,India,Urban,374328,3.92,103520.04,No
pgKAYcWQRW,Brazil,Urban,556911,4.72,498515.51,No
DYgjuNLJqb,Brazil,Adventure,917214,2.02,266303.55,No
hAiRvUxmsS,Australia,Beach,864923,3.18,108630.53,Yes
xhXLeYLDvU,France,Urban,494459,4.44,444775.17,No
CxHViGMQCM,USA,Beach,881164,3.77,440964.44,No
vapBLphcgR,Australia,Beach,304538,2.59,831432.87,Yes
wnozRmPLmI,Egypt,Urban,787170,4.94,611162.52,No
QvoQwzIVft,Egypt,Adventure,614194,2.81,329183.27,Yes
MFNVFHKDIv,Egypt,Beach,541885,2.75,458080.86,No
FuISMivFKs,Australia,Adventure,870421,2.94,549314.81,No
UWnWgVUKgY,Brazil,Adventure,517952,1.64,840447.22,Yes
ogulpFgyzg,USA,Historical,684320,1.73,761459.03,No
fdAKARPdyx,Brazil,Nature,293644,2.74,979853.38,Yes
TUUJJunAms,USA,Nature,157782,2.76,51393.97,Yes
UokvXepWbI,Australia,Historical,117823,2.05,873034.66,Yes
furoUEdWXc,India,Urban,156438,1.98,918904.57,Yes
frSGWOREwN,China,Adventure,97969,4.9,270164.27,Yes
fznfDSWHtm,China,Historical,632247,3.33,402325.8,No
rGDtewLngo,Egypt,Urban,530352,3.31,90112.2,No
sbCXbGpBOf,China,Nature,955332,1.5,321127.18,Yes
nIvUDZvQRM,Australia,Beach,865013,4.95,310262.71,No
KZESfNiTGA,Brazil,Historical,648698,2.56,445639.58,No
uONAtPLNTz,France,Adventure,733794,3.99,816160.24,No
fCOaLUGUMz,France,Urban,618907,1.31,15819.25,No
CAjuFjeHUv,Brazil,Cultural,535120,2.82,692560.8,No
mWzJcaFDJe,Australia,Cultural,930005,2.46,11504.81,No
dbnbUPItQY,USA,Nature,423544,4.77,403547.79,No
xUcsNkTJFw,Brazil,Adventure,8778,3.52,839081.71,Yes
TfloXZaCbr,USA,Historical,757450,4.81,729953.92,Yes
bJBEnbKYkP,USA,Cultural,627818,1.56,915520.83,No
gOGrsNHCRu,Egypt,Cultural,588940,3.14,853910.56,Yes
NDVPVbyIcr,India,Cultural,340872,2.18,544563.99,Yes
aaqVpBnaNz,India,Cultural,712275,1.74,166108.53,Yes
uFoiKdOROk,France,Historical,188680,1.67,475603.49,No
wVfNqlMZWa,France,Urban,725623,3.37,732653.47,Yes
QpqdSIAnqD,India,Cultural,308938,1.08,555506.97,Yes
PHqHbNoiSd,India,Adventure,736830,1.91,289284.35,Yes
LxERLzjNsI,Australia,Beach,635049,3.66,979353.58,No
eEPQqkOplB,Egypt,Beach,707595,3.53,51637.88,No
xzqjtiVUGG,Australia,Urban,521123,4.44,956558.97,No
gitCgfTCIy,China,Nature,836859,3.75,3811.54,Yes
KjTjIHRntC,Australia,Cultural,90653,3.93,471565.44,No
tXjivyLuKB,USA,Adventure,86355,4.18,987607.68,No
MFRTBfrnas,China,Historical,981756,3.65,492954.15,Yes
zBnsZceFyF,India,Adventure,741728,2.9,141147.38,No
JCCtaLielR,France,Adventure,544777,4.98,186170.44,Yes
jNcfrqEKAO,India,Urban,822712,4.47,113927.18,No
YiQfnNRCJw,Egypt,Beach,563079,3.84,886916.65,No
IWUhtsbdUC,France,Urban,55256,4.51,714579.82,Yes
ScZkMahkcm,USA,Urban,294765,2.38,931647.2,No
HoRwxQUADL,Australia,Historical,507423,3.69,975860.67,No
dAiODBLnER,USA,Urban,141857,1.26,233312.58,No
nrGYdPQOTf,Brazil,Historical,567380,2.91,183724.85,No
bxJVGwokjf,China,Cultural,216206,1.16,514928.42,No
uZoAXiLiRx,France,Nature,203208,4.19,833812.76,Yes
lFWcYJJxKp,USA,Nature,643171,4.59,102367.72,No
EctpwoPVQZ,Australia,Urban,729904,1.8,592128.24,Yes
OVIIQdFdpo,India,Historical,612356,1.12,734669.7,Yes
FsLQrDZUPA,India,Historical,187233,2.51,327376.33,Yes
TBhWoebqqs,USA,Urban,51421,3.28,813639.46,No
adhQakIdbK,Egypt,Historical,809206,2.41,845406.99,No
ricXYOCbrc,Brazil,Urban,948817,1.71,677101.83,Yes
xoAsslwobC,India,Adventure,416316,4.23,953065.36,Yes
BFzPRubYVQ,Australia,Historical,532845,3.52,653455.47,No
zGEOohIahl,China,Nature,134577,2.34,300908.01,Yes
qwetQzakog,Brazil,Nature,108811,4.06,716799.96,No
MXVenLbLpO,Brazil,Historical,891830,4.02,580589.59,Yes
TahudiQwqT,India,Beach,529208,4.4,949503.68,No
MjCclRjPXD,France,Beach,306933,4.62,970664.85,No
HDRZwfhpTu,Brazil,Cultural,385823,4.22,797744.95,No
TTXqMiZcML,Australia,Cultural,439576,1.14,673987.28,No
qhuuZFhDMF,France,Adventure,605601,1.29,978220.63,Yes
UMnpeHfAZe,China,Urban,378630,3.37,457782.54,No
fryJSoCzEr,India,Urban,970279,4.63,678508.22,No
erFCFZEJfY,Egypt,Urban,604050,3.19,215067.35,Yes
HBSecAnnbQ,China,Nature,627649,2.07,349213.01,No
aoqtjRQAru,India,Nature,449907,3.81,233573.08,No
jdOUqjxhpM,India,Adventure,963997,4.3,253593.62,No
yviCCotwgL,Egypt,Beach,643895,3.7,794943.4,Yes
HnVgGaJqKT,China,Nature,719256,4.18,102022.53,Yes
fnPCxpQXyt,Brazil,Historical,445749,4.12,964871.68,Yes
lPQftFwLiM,Egypt,Historical,131488,1.4,894028.52,Yes
YYyhBIfbwS,Egypt,Adventure,723043,1.39,320505.45,No
